id	repositorio	commit	ruta	url	sha256	bytes	acceso	consulta_utc	funcion
F01	SV-lenguaje-de-computacion	e1ab93d0de3df170a674f5a7887a3c20e96c6816	AGENTS.md	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/e1ab93d0de3df170a674f5a7887a3c20e96c6816/AGENTS.md	d79c5a325a3a7996ab408fe97c94db6d6ff04faea8dcd3b2bf84cd38282f6104	4384	público; HTTP 200 sin autenticación	2026-09-17T09:49:30.6520179Z	instrucción o marco rector
F02	SV-lenguaje-de-computacion	e1ab93d0de3df170a674f5a7887a3c20e96c6816	docs/calidad/ACTA_TECNICA_DE_PERFILES_CONTRATOS_Y_ENSAMBLAJE_DEL_LENGUAJE_SV_2026_09_06.md	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/e1ab93d0de3df170a674f5a7887a3c20e96c6816/docs/calidad/ACTA_TECNICA_DE_PERFILES_CONTRATOS_Y_ENSAMBLAJE_DEL_LENGUAJE_SV_2026_09_06.md	38673267da27fae204f81689aaaf4cb0fd123e7f2e4a3384850c44762c0c06d8	29014	público; HTTP 200 sin autenticación	2026-09-17T09:49:31.7078097Z	instrucción o marco rector
F03	SV-lenguaje-de-computacion	e1ab93d0de3df170a674f5a7887a3c20e96c6816	docs/calidad/PILARES_Y_RESTRICCIONES_DE_DISENO_DEL_LENGUAJE_DE_COMPUTACION_SV_2026_09_05.md	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/e1ab93d0de3df170a674f5a7887a3c20e96c6816/docs/calidad/PILARES_Y_RESTRICCIONES_DE_DISENO_DEL_LENGUAJE_DE_COMPUTACION_SV_2026_09_05.md	d3c9f7d7a3c3626f7fe75917d89d067cd7d281178f857a9d693ca945a7144755	25563	público; HTTP 200 sin autenticación	2026-09-17T09:49:32.4689133Z	instrucción o marco rector
F04	SV-lenguaje-de-computacion	e1ab93d0de3df170a674f5a7887a3c20e96c6816	docs/dominios/inmunologia/ACTA_DE_CONFORMIDAD_DE_TRANSICION_SECUENCIAL_DESDE_OP-IMM-001_AL_LENGUAJE_SV_2026_09_03.md	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/e1ab93d0de3df170a674f5a7887a3c20e96c6816/docs/dominios/inmunologia/ACTA_DE_CONFORMIDAD_DE_TRANSICION_SECUENCIAL_DESDE_OP-IMM-001_AL_LENGUAJE_SV_2026_09_03.md	b625b2f1ad0db01d38779edcb5033447543da319106ffc1089be1cc1648e9871	67111	público; HTTP 200 sin autenticación	2026-09-17T09:49:33.1152679Z	instrucción o marco rector
F05	SV-lenguaje-de-computacion	e1ab93d0de3df170a674f5a7887a3c20e96c6816	docs/calidad/Inventario-sv/sucesos/SUCESOS_SV.md	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/e1ab93d0de3df170a674f5a7887a3c20e96c6816/docs/calidad/Inventario-sv/sucesos/SUCESOS_SV.md	9f2f21129ec54d75fed58d7934115766f6fa284338a0857cfacf6a709e3e62a3	86278	público; HTTP 200 sin autenticación	2026-09-17T09:49:33.9765069Z	estado y recepción canónicos
F06	SV-lenguaje-de-computacion	e1ab93d0de3df170a674f5a7887a3c20e96c6816	docs/calidad/REGISTRO_EVOLUCION_TECNICA_PROYECTO.csv	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/e1ab93d0de3df170a674f5a7887a3c20e96c6816/docs/calidad/REGISTRO_EVOLUCION_TECNICA_PROYECTO.csv	2f9b4f1d2a92b622ed70efb01c0387b6ec634264034e83ec8ac70487b05cc61c	328474	público; HTTP 200 sin autenticación	2026-09-17T09:49:34.9265087Z	estado y recepción canónicos
F07	SV-lenguaje-de-computacion	e1ab93d0de3df170a674f5a7887a3c20e96c6816	docs/calidad/tuberias-ia/continuacion-15-09-2026/inicio.md	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/e1ab93d0de3df170a674f5a7887a3c20e96c6816/docs/calidad/tuberias-ia/continuacion-15-09-2026/inicio.md	55c46f66f7aeb5f516e889a96adbaa7279533b5de53f5ff81ad0a3909c70ccf4	10198	público; HTTP 200 sin autenticación	2026-09-17T09:49:35.7291020Z	estado y recepción canónicos
F08	SV-lenguaje-de-computacion	e1ab93d0de3df170a674f5a7887a3c20e96c6816	docs/calidad/tuberias-ia/continuacion-15-09-2026/ACTA_001_CONTINUIDAD_Y_RUMBO_2026_09_15.md	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/e1ab93d0de3df170a674f5a7887a3c20e96c6816/docs/calidad/tuberias-ia/continuacion-15-09-2026/ACTA_001_CONTINUIDAD_Y_RUMBO_2026_09_15.md	d92924b9e81233b02902f44a990d04df1fea6c7843de961c703b718f4dca5173	22770	público; HTTP 200 sin autenticación	2026-09-17T09:49:36.3669978Z	estado y recepción canónicos
F09	SV-lenguaje-de-computacion	e1ab93d0de3df170a674f5a7887a3c20e96c6816	docs/calidad/tuberias-ia/continuacion-15-09-2026/PARTE_ALCANCE_PRIVACIDAD_SEGURIDAD_Y_OP_CYB_001_2026_09_15.md	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/e1ab93d0de3df170a674f5a7887a3c20e96c6816/docs/calidad/tuberias-ia/continuacion-15-09-2026/PARTE_ALCANCE_PRIVACIDAD_SEGURIDAD_Y_OP_CYB_001_2026_09_15.md	38a2e067746e38ee1f38507b1c9380f475463b692b2bf4047e17796d5bcd3d73	59396	público; HTTP 200 sin autenticación	2026-09-17T09:49:37.0407652Z	estado y recepción canónicos
F10	SVcustos-dataset	dd50c3e5c74e10526bb28087c8d5e2852d2efb68	docs/laboratorio-de-infraestructura-SV/documentacion/index.html	https://raw.githubusercontent.com/juantoniolloretegea/SVcustos-dataset/dd50c3e5c74e10526bb28087c8d5e2852d2efb68/docs/laboratorio-de-infraestructura-SV/documentacion/index.html	56f2adbeae525059e89df1a0913bcb5831e72664c29a571a5ce94347f1c7c888	10482	público; HTTP 200 sin autenticación	2026-09-17T09:55:36.8903659Z	antecedente histórico conservado
F11	SVcustos-dataset	dd50c3e5c74e10526bb28087c8d5e2852d2efb68	docs/index.html	https://raw.githubusercontent.com/juantoniolloretegea/SVcustos-dataset/dd50c3e5c74e10526bb28087c8d5e2852d2efb68/docs/index.html	eae5febdcc33f08746ce9dc87fed3a32a99ad9f40707739e97e780a11c9eeb4d	14561	público; HTTP 200 sin autenticación	2026-09-17T09:55:37.3144143Z	antecedente histórico conservado
F12	SVcustos-dataset	dd50c3e5c74e10526bb28087c8d5e2852d2efb68	docs/historial-beta.html	https://raw.githubusercontent.com/juantoniolloretegea/SVcustos-dataset/dd50c3e5c74e10526bb28087c8d5e2852d2efb68/docs/historial-beta.html	60c6dee133928797dd4444e2890dc0596061afb7bc1d516466497aa664155658	15995	público; HTTP 200 sin autenticación	2026-09-17T09:55:38.1422715Z	antecedente histórico conservado
F13	SV-lenguaje-de-computacion	7d6ecaa7d56b786ff194379417fef2ec2f0952df	docs/calidad/Inventario-sv/sucesos/SUCESOS_SV.md	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/7d6ecaa7d56b786ff194379417fef2ec2f0952df/docs/calidad/Inventario-sv/sucesos/SUCESOS_SV.md	581fb11a564718fa9138e9b9d53e57526bcc740b290905616d96b8fa2d1cb709	86271	público; HTTP 200 sin autenticación	2026-09-17T10:00:42.9174964Z	estado y recepción canónicos
F14	SV-lenguaje-de-computacion	7d6ecaa7d56b786ff194379417fef2ec2f0952df	docs/calidad/REGISTRO_EVOLUCION_TECNICA_PROYECTO.csv	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/7d6ecaa7d56b786ff194379417fef2ec2f0952df/docs/calidad/REGISTRO_EVOLUCION_TECNICA_PROYECTO.csv	c4e3baa5d0dcf4a2fc1de5fc17103856c3f83b5ae8c84558f2b031c2de47a19f	329477	público; HTTP 200 sin autenticación	2026-09-17T10:00:44.0872582Z	estado y recepción canónicos
